사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021년 12월 16일 15시,강원도 원주시 소초면,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,여,59세,중상
2021년 12월 16일 17시,강원도 강릉시 성산면,경상사고,0,0,2,0,차대차 - 기타,차로위반,포장 - 건조,맑음,단일로 - 기타,건설기계,남,60세,상해없음,승용,여,32세,경상
2021년 12월 18일 20시,강원도 횡성군 둔내면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,26세,상해없음,승용,여,35세,경상
2021년 12월 19일 13시,강원도 춘천시 남면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,83세,경상
2021년 12월 19일 14시,강원도 평창군 용평면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,23세,경상
2021년 12월 20일 08시,강원도 횡성군 둔내면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,승용,여,64세,상해없음,화물,남,55세,상해없음
2021년 12월 20일 11시,강원도 강릉시 성산면,사망사고,1,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,63세,사망,화물,남,50세,경상
2021년 12월 20일 19시,강원도 횡성군 둔내면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,36세,사망,화물,남,66세,경상
2021년 12월 21일 10시,강원도 평창군 평창읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,화물,남,41세,상해없음,화물,남,31세,경상
2021년 12월 31일 14시,강원도 원주시 태장동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,경상,승용,남,43세,상해없음
2021년 12월 31일 22시,강원도 강릉시 사천면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,44세,경상
